replicate,first_CG23_failure,first_anytime_failure,terminal_k,terminal_risk
232,0,0,2,0.0002629416950090167
233,0,0,2,0.0002429540172158123
234,0,0,2,0.0001731594846634596
235,0,0,1,2.1778254837040004e-05
236,0,0,2,0.0003091115177420458
237,0,0,2,5.241175819630528e-05
238,4082,0,1,5.9997795672522134e-05
239,0,0,2,0.0002632910976489464
240,0,0,2,0.0003510392383828884
241,0,0,2,0.00031172076138807783
242,0,0,2,0.00024243851588513023
243,0,0,2,0.00014762204943528437
244,0,0,1,0.0001397261974671964
245,0,0,2,0.00010643861184042467
246,0,0,2,0.0004049073158934578
247,0,0,1,2.7499153220908155e-05
248,0,0,2,0.00025818937659565167
249,0,0,2,0.0001208137184180738
250,0,0,2,8.886583440272195e-05
251,5235,0,2,0.00037427019305006926
252,0,0,2,8.906699351774311e-05
253,0,0,2,0.00020905092309372864
254,0,0,2,9.362912826029994e-05
255,0,0,1,8.234283110817332e-05
256,0,0,2,0.0003870308616083064
257,0,0,2,0.0002984505684144821
258,0,0,2,0.000359615291654991
259,0,0,1,0.00015153940806082148
260,1007,0,2,0.00013311365080024564
261,0,0,2,0.000284040324753581
262,0,0,2,9.627987835144812e-05
263,3860,0,2,8.874798132083744e-05
264,0,0,2,3.7997167391755644e-05
265,0,0,2,0.00027864856207961825
266,0,0,2,0.0005971120207905778
267,0,0,2,0.00022835560212118282
268,0,0,2,4.759842167126452e-05
269,0,0,2,5.821931042398624e-05
270,0,0,2,0.00043029714137261934
271,0,0,2,0.0001041566907304274
272,0,0,2,0.0003598206794728571
273,0,0,2,0.0005430208384875846
274,0,0,2,0.00014945551894526667
275,0,0,2,0.00011893256670807392
276,43,0,2,3.7179797191030844e-05
277,0,0,1,3.234473407616331e-05
278,7395,0,2,0.0011964127080251984
279,0,0,2,0.00019116915399593212
280,0,0,2,0.000658050266610502
281,0,0,2,0.0005970092093910776
282,0,0,2,0.0002372519314309534
283,0,0,2,0.00038481458669164983
284,0,0,2,0.000623273703138236
285,0,0,2,0.00021616334826820321
286,0,0,2,0.0004028833332821931
287,0,0,1,6.195740897477528e-06
288,0,0,2,0.00024325793773992757
289,0,0,2,0.0005156922935713832
290,0,0,2,0.0001634400769152893
291,0,0,2,0.00014571308722717238
292,0,0,2,0.00014325832338873127
293,0,0,2,0.00013262322328233282
294,0,0,2,0.0006838863839586635
295,0,0,2,0.0006490257924841675
296,0,0,1,2.281324026344326e-05
297,0,0,2,0.0007256597992917099
298,0,0,2,0.00011883572206264981
299,0,0,2,5.720209483084228e-05
300,134,0,2,0.0003470071299565765
301,0,0,2,0.00021849370045661198
302,0,0,2,0.00012294169519844704
303,0,0,2,8.273709787104562e-05
304,0,0,2,0.0003276360788518957
305,0,0,1,5.745484303906428e-05
306,0,0,2,9.280242441663642e-05
307,0,0,2,0.0004035279247968042
308,0,0,1,0.000502951854107863
309,0,0,2,0.0001650593455156282
310,0,0,2,0.00038304159765688886
311,302,0,1,9.385810849834274e-05
312,0,0,2,0.0004973699208529347
313,38,0,2,0.00017105327869962564
314,0,0,2,0.00023490652043444942
315,0,0,2,0.0003753869830443609
316,1689,0,1,0.00045647282655058603
317,0,0,2,0.000224796037205648
318,0,0,2,0.0007701504189659909
319,0,0,2,0.00018686476585765127
320,0,0,2,5.735427989847261e-05
321,0,0,2,0.00036800115019771295
322,0,0,1,0.0003326818846822895
323,0,0,2,0.00024518282234083094
324,0,0,2,0.0005573327569942041
325,0,0,2,0.0003740916377276066
326,0,0,2,0.00013728587794669704
327,0,0,2,0.00038726032788672705
328,0,0,1,0.00012385148930814044
329,0,0,2,0.00019620208273090001
330,0,0,1,2.1981429554888758e-05
331,0,0,1,5.396312770816705e-05
332,0,0,2,0.00012739708051895865
333,0,0,2,6.59609765514952e-05
334,0,0,2,0.00041657739103963915
335,0,0,2,0.0001677468474685922
336,0,0,2,0.00041374074649608034
337,0,0,2,0.0003017438648025576
338,0,0,1,2.126886384558746e-05
339,0,0,2,0.000294412258442875
340,0,0,2,0.00034541194917989067
341,0,0,2,0.00019038536281197466
342,0,0,1,0.0001986788451009901
343,0,0,1,0.00024962617103013225
344,0,0,2,0.00020211358379162132
345,0,0,2,9.294738145820113e-05
346,0,0,1,2.8699287813499063e-06
347,0,0,1,2.063401493838885e-05
348,0,0,2,0.0004418240058220932
349,0,0,2,5.471363256303987e-05
350,5383,0,2,0.000700879585445989
351,0,0,2,0.0003193438475468167
352,0,0,2,0.00016040682408908263
353,0,0,2,0.00013796965929604207
354,0,0,2,0.00017503502902604132
355,0,0,2,0.0002243089314202152
356,0,0,1,0.00034353676210697326
357,0,0,1,0.00016199349623620095
358,0,0,2,0.0001796341863555746
359,0,0,2,0.00024135011605211246
360,0,0,2,0.00033759672776904795
361,0,0,2,0.00015367918167212148
362,0,0,2,0.0003374827880395531
363,0,0,2,0.00029287348850531186
364,0,0,2,0.00032569349552899425
365,0,0,2,0.00039725264640053137
366,0,0,1,0.00011828987628414552
367,0,0,2,0.0002368549685180652
368,0,0,2,0.00012532870583625293
369,0,0,2,7.489418149272942e-05
370,0,0,2,0.0005754568811350687
371,0,0,2,0.00024669580701413836
372,0,0,2,0.00020963886580478247
373,0,0,2,4.769000399351523e-05
374,0,0,2,0.0001621452427057493
375,0,0,1,2.3907924031926963e-05
376,2230,0,1,0.00011937125067427205
377,0,0,2,7.628338726817251e-05
378,0,0,2,0.0002969828873897963
379,7,0,2,0.0005404605364487008
380,0,0,2,3.924399113407268e-05
381,0,0,2,0.00042599813129809715
382,0,0,2,0.00022305406056609233
383,0,0,2,0.00013432193702244322
384,0,0,2,6.954539795444469e-05
385,0,0,2,9.931080990031027e-05
386,0,0,1,0.0008429770940440917
387,0,0,2,0.0002468395496570293
388,0,0,2,0.00019517626899871377
389,0,0,2,0.00021244657703553752
390,0,0,1,2.5985501488247138e-05
391,0,0,2,0.00020811087237173004
392,0,0,1,7.956756232821114e-05
393,0,0,2,0.00030172349706266923
394,0,0,2,0.0003281455310803156
395,0,0,2,0.00017186087988711632
396,0,0,2,0.00025003012637213903
397,0,0,2,0.00024333599539905584
398,0,0,1,0.0001892866792114456
399,0,0,2,0.00026497757653672717
400,0,0,2,0.00021042841255092764
401,0,0,2,0.0001869024138365883
402,0,0,2,0.0003074766100972527
403,0,0,2,0.00011132109430270829
404,7,0,2,0.00016249778792848174
405,0,0,2,0.00012304868605130708
406,0,0,1,4.308406460052532e-05
407,0,0,2,9.619229965233145e-05
408,0,0,2,0.0005728826210358342
409,0,0,2,6.365480380591599e-05
410,0,0,2,0.00015802597313632625
411,0,0,1,0.00021334349749348752
412,0,0,2,0.00020527036327769668
413,0,0,1,0.0005081612322424246
414,0,0,2,0.00040552527788855
415,0,0,2,0.0007206147322796645
416,0,0,2,0.00013853907491602688
417,0,0,1,0.00014830680388913553
418,0,0,2,0.0002836709951799907
419,0,0,1,3.9819496637727856e-05
420,0,0,2,0.00031367256550384327
421,0,0,2,4.052895788257795e-05
422,0,0,1,0.0002722865393754639
423,0,0,2,0.0009901704930409133
424,0,0,1,6.629946408220642e-05
425,0,0,2,0.00042512772497295387
426,0,0,1,1.5995419610910333e-06
427,0,0,2,0.00019671780141554589
428,0,0,1,2.4809110624054685e-05
429,0,0,2,0.00032981239462708304
430,0,0,2,0.00031053401606053176
431,0,0,2,8.399819134645504e-05
432,0,0,2,0.00021611097965750327
433,0,0,2,0.0007622853704354427
434,0,0,2,0.0004384408788241446
435,0,0,2,0.00031104644025263387
436,0,0,1,0.0002123041399256548
437,0,0,2,0.00010700264384976504
438,0,0,2,0.00017248355013246302
439,0,0,2,0.00010597581147313028
440,0,0,2,0.0004147966565075766
441,0,0,2,0.0004060500811174458
442,0,0,2,0.0003344093748677099
443,0,0,2,0.0006006983374340751
444,7,0,1,5.768519649555148e-05
445,0,0,2,7.128201424270187e-05
446,0,0,1,0.00015128313804481556
447,0,0,2,0.00016917289339401657
448,0,0,2,0.0001797430954253599
449,0,0,2,0.00021782539073996282
450,0,0,2,0.00015570633219992225
451,0,0,2,0.00011530988647462948
452,0,0,2,8.185020446187551e-05
453,0,0,2,0.00020757950908405226
454,0,0,1,0.00011505953208243704
455,0,0,2,6.903512292582113e-05
456,0,0,2,0.00019201923179105885
457,0,0,2,0.0007025561659167103
458,2986,0,2,0.0007455036232822178
459,0,0,2,9.783336932545242e-05
460,0,0,2,0.0002695627594749163
461,0,0,2,0.00019443457105504787
462,0,0,2,0.00021887329376797486
463,0,0,1,5.536628595660498e-05
464,0,0,2,4.1775230696429264e-05
465,0,0,2,0.00022284172066878543
466,0,0,2,0.0005387978504478565
467,0,0,2,0.00010519139632434258
468,0,0,1,2.2524689676678194e-05
469,0,0,2,0.0001546682932556202
470,0,0,2,0.0002585399177843351
471,0,0,2,0.00014777133999498244
472,0,0,2,0.0002676515680000496
473,0,0,2,0.0002848619443410946
474,0,0,2,0.0003684297447100373
475,0,0,2,0.00045133631253504135
476,0,0,1,0.00026704882789352016
477,0,0,2,0.0001364830485791726
478,0,0,1,3.485790827314127e-05
479,0,0,2,0.0002112365400686508
480,0,0,2,0.0005117473841221015
481,0,0,2,0.0004152609716049996
482,0,0,2,0.0001471577146228713
483,25,0,1,1.3594865812782359e-05
484,0,0,2,0.0007070603526343973
485,0,0,2,0.0005140423698283368
486,0,0,2,7.887370543935427e-05
487,0,0,2,0.0004115775222568283
488,0,0,2,0.0003239762565668103
489,0,0,2,0.00012612412653564115
490,0,0,2,0.00015324299196486368
491,0,0,1,0.0002255303883816251
492,0,0,2,0.00027294045735982796
493,0,0,2,0.0006365165671201615
494,69,0,2,2.2256058746076503e-05
495,0,0,2,0.00032191367415591366
496,0,0,2,8.485633678006749e-05
497,0,0,1,0.00010576830067509305
498,0,0,2,0.0003354680166589315
499,0,0,2,0.0001478028058492647
500,0,0,2,0.00020909769177172895
501,0,0,2,0.00021057552111989133
502,72,0,2,0.0002898752981056026
503,0,0,2,0.0002752574177582274
504,0,0,2,9.559435558151922e-05
505,0,0,2,8.424707226123283e-05
506,0,0,1,4.9862221748541964e-05
507,0,0,2,0.0005143313071412257
508,0,0,2,0.00019895257543900655
509,0,0,2,0.0005753177101056991
510,0,0,1,5.5419378055472784e-05
511,0,0,2,0.0002465898241509728
512,0,0,2,0.00037284228931599154
513,0,0,2,0.0002510232952919288
514,0,0,2,0.0002932534852778329
515,0,0,2,0.0005206518711257191
516,0,0,2,0.00018917542461401095
517,0,0,2,0.00039162759515492054
518,0,0,2,0.00028063114116061384
519,0,0,2,0.00020003370408608093
520,0,0,2,0.00016722499635058352
521,0,0,2,3.7924059864292585e-05
522,0,0,1,0.00010346276942966655
523,0,0,2,0.00012695832227386876
524,0,0,2,0.0007810187929960401
525,0,0,1,2.25567574349286e-05
526,4735,0,1,5.636428025911048e-05
527,0,0,2,0.00012324788572157334
528,0,0,2,0.0006477462306368104
529,0,0,2,0.0007862253305694505
530,0,0,2,0.0004928082178851287
531,0,0,2,0.00018461098323041954
532,0,0,2,1.3711773377232644e-05
533,0,0,1,4.54787421887349e-05
534,0,0,2,0.00012467701652109687
535,14,0,1,5.312655703347582e-06
536,0,0,2,0.0005706940305669823
537,0,0,2,0.0004526163781606241
538,0,0,1,6.629269123215093e-05
539,0,0,1,5.213665865642906e-05
540,0,0,2,8.631550591345278e-05
541,0,0,2,0.0001559061756425604
542,0,0,2,0.00015371837051574976
543,0,0,2,0.000409685957985147
544,0,0,2,0.00011226237235969363
545,0,0,2,0.00017414271306431356
546,0,0,2,0.00015243231010768948
547,0,0,2,0.0002857155043350211
548,0,0,2,0.0007110391943538336
549,0,0,2,0.0002337076824554728
550,0,0,2,0.0005144754993149593
551,0,0,1,1.7347879526326337e-05
552,0,0,2,0.0001808399435107215
553,0,0,2,1.0666580751215266e-05
554,0,0,2,0.0003805757112887594
555,0,0,2,0.0002639035526732128
556,0,0,2,5.1758677887919404e-05
557,0,0,1,0.0002340343878659127
558,0,0,2,0.00032880817523259475
559,0,0,2,0.0001131137551139277
560,0,0,2,0.00020197889173753002
561,0,0,2,0.0003239717341284066
562,0,0,2,0.0001907161937137485
563,0,0,2,0.00031322557695877826
564,0,0,2,2.2448627719280857e-05
565,0,0,1,0.00042232632523497176
566,0,0,2,0.00010004087774760034
567,0,0,2,8.519723354385607e-05
568,0,0,2,0.00033339916923637075
569,0,0,2,0.0004599386111043203
570,0,0,2,9.530150219217447e-05
571,0,0,2,0.00015471450440893367
572,0,0,2,9.860893898528875e-05
573,0,0,2,0.00015734227096522399
574,0,0,2,0.0001629584177835421
575,0,0,2,0.000361464915342006
576,0,0,2,0.0001136189949679213
577,0,0,2,0.0002913124052848304
578,7,0,2,0.00013549914981203853
579,0,0,2,0.0004432243023097744
580,0,0,2,0.00025465944132528704
581,0,0,2,0.00011509359179863889
582,0,0,2,0.00011802269067455546
583,0,0,2,0.0003148750341389949
584,0,0,2,0.000259798427579309
585,0,0,2,0.00020181654586966713
586,0,0,2,0.0003822335194368514
587,0,0,1,0.00015994977248202688
588,0,0,2,0.00019278580557325568
589,0,0,2,0.0003782455776922854
590,0,0,2,0.00012452095223323414
591,0,0,1,0.0001517856499181554
592,15,0,2,0.00016811906265968665
593,0,0,2,8.227525052562929e-05
594,0,0,2,0.0002354520281883225
595,0,0,2,0.00024447208719219436
596,0,0,2,0.0006618346379737872
597,0,0,2,0.00013944250523220897
598,0,0,2,0.00023914685531599116
599,0,0,2,6.018357874774834e-05
600,0,0,2,0.00020579127862148627
601,79,0,1,0.00014864619839801479
602,0,0,2,0.0001738770680443946
603,14,0,2,0.00014058382808003505
604,0,0,2,0.00023454038440391307
605,0,0,1,0.00010272958145724636
606,0,0,2,0.00044707303953079555
607,0,0,2,8.535192409150093e-05
608,0,0,2,0.00013192252099267899
609,0,0,2,7.130338140766148e-05
610,0,0,2,0.0003994278669718892
611,0,0,1,8.715983646885738e-05
612,0,0,2,0.0001695819152517603
613,0,0,2,0.000264589346052922
614,0,0,2,0.0006030978480836751
615,0,0,2,0.00011806329745957657
616,7,0,2,0.0003448785719732555
617,0,0,2,0.00023570308562145684
618,0,0,2,0.00038831282973345033
619,0,0,2,0.00024971343539819296
620,0,0,1,1.0082591676126745e-05
621,0,0,2,7.007055083509199e-05
622,0,0,2,0.0003219652473176593
623,7,0,2,0.00015162554254609246
624,0,0,2,9.591289555954185e-05
625,0,0,1,0.00047575389201500167
626,0,0,1,1.5357158128583838e-05
627,0,0,2,0.0006047844586045581
628,0,0,2,5.4162711932093127e-05
629,0,0,2,0.00034105016743277383
630,0,0,2,0.0006027577963208194
631,0,0,2,4.827460850741761e-05
632,0,0,2,7.340962426231061e-05
633,0,0,2,4.938187120547668e-05
634,0,0,2,0.0003152722979860751
635,0,0,2,0.0003918008420779606
636,0,0,2,0.00010796761828620448
637,0,0,2,7.707438969776263e-05
638,0,0,2,0.00011584068891935212
639,0,0,1,4.1328754493594576e-05
640,0,0,2,0.00029300452338114433
641,0,0,2,0.00010128672807284601
642,0,0,2,0.0001469079254662356
643,0,0,2,8.567888124971299e-05
644,0,0,2,0.00042582246603412694
645,1733,0,1,7.399345417535289e-05
646,0,0,2,0.00014525230050307214
647,0,0,1,7.381791012082438e-05
648,0,0,2,6.229347133347428e-05
649,0,0,2,0.00019964402830434215
650,0,0,2,0.00031791938790945293
651,0,0,2,0.00010489192315501475
652,0,0,2,5.4777343071790595e-05
653,0,0,2,0.00020898278970947156
654,0,0,2,0.0004291855687121813
655,0,0,2,0.00036554617219733545
656,0,0,2,0.00020958556203242628
657,0,0,2,0.0003584785447715809
658,0,0,2,0.0001612747420444423
659,0,0,2,0.00014486492217345042
660,0,0,2,0.0006493664223151147
661,0,0,2,0.0002394422880125845
662,0,0,2,0.00033498199802181936
663,0,0,2,0.00010756592162612938
664,0,0,2,0.0001636095547116673
665,0,0,2,0.00035819723968405373
666,0,0,1,0.00011610286772964501
667,0,0,2,0.00010572046817127471
668,0,0,1,7.583931192163245e-05
669,0,0,2,0.00027339723254257925
670,0,0,2,0.00015955206552639795
671,0,0,2,0.00038726941527349044
672,0,0,1,0.00012535731666667293
673,0,0,2,0.00010099114017066027
674,0,0,2,0.0004019895820581977
675,0,0,1,6.84143116302622e-05
676,0,0,2,6.697403919760079e-05
677,0,0,2,2.5445754053969518e-05
678,0,0,2,0.0006125842588540185
679,0,0,2,0.0002843786101587296
680,0,0,2,0.0002599774163091079
681,5509,0,2,0.0006720011189371304
682,0,0,2,0.0004711423380335418
683,0,0,2,0.0001088404276475545
684,0,0,2,0.0004947150358784497
685,0,0,1,2.0407461543227024e-05
686,0,0,2,0.0002651935725369688
687,0,0,2,0.0001132746274406954
688,0,0,2,0.00023191851339528913
689,0,0,1,0.0006502256957066061
690,0,0,2,6.459114611224191e-05
691,0,0,2,0.0003048551079851752
692,0,0,1,0.0004202215832746929
693,0,0,2,0.00019912074173387306
694,0,0,2,0.0005834654273806052
695,0,0,1,0.00010130664462291692
696,0,0,2,8.283622516857922e-05
697,5278,0,2,0.0008375655981162826
698,0,0,2,0.00011943291046849333
699,0,0,2,0.00022161475178683043
700,0,0,2,7.949621874867857e-05
701,0,0,2,0.0004059456252977796
702,29,0,2,0.0002543988340356999
703,0,0,2,0.00041295609655172866
704,0,0,2,0.000366188175757434
705,610,0,2,0.000453252106252761
706,0,0,2,3.2232453919680136e-05
707,0,0,2,0.00020675413579225688
708,0,0,2,9.319322068825653e-05
709,0,0,2,0.00022503436450049425
710,0,0,1,8.173850529146921e-05
711,0,0,2,0.00023440850897998104
712,0,0,2,0.00027931351829279757
713,0,0,2,0.00021302997971870427
714,0,0,2,8.933173697040956e-05
715,0,0,2,0.00027995386553525945
716,0,0,2,0.000377403128880273
717,0,0,2,0.00023164297914104223
718,0,0,2,0.00028089582848928176
719,0,0,2,0.000150228950965159
720,0,0,2,0.00030889957341983474
721,0,0,2,0.00016055981027047336
722,0,0,2,0.0002467760017584878
723,0,0,2,0.00016576497404554184
724,0,0,2,0.0001953904733063349
725,0,0,2,6.715032344846242e-05
726,0,0,2,0.0001982578330924161
727,0,0,2,0.00016240554793544887
728,0,0,2,0.00013158533445927146
729,0,0,2,0.0006142965658926859
730,0,0,2,0.00026480565674517946
731,0,0,2,0.0001779482881902002
732,0,0,2,0.00010570635166212036
733,0,0,1,0.0004006409217912455
734,0,0,2,0.0004204088451395558
735,0,0,2,0.0001470381023151072
736,0,0,2,0.00018867286292715185
737,0,0,2,4.4734460368358854e-05
738,0,0,2,0.0004431417172877026
739,0,0,2,0.00010696758875269028
740,0,0,2,9.638663200856444e-05
741,0,0,2,0.00018379684774781359
742,0,0,2,0.0004503523224498249
743,0,0,2,8.597720924982058e-05
744,0,0,2,8.042575361690747e-05
745,0,0,1,0.0001872838992330069
746,0,0,2,0.0001452027588995297
747,0,0,2,0.0002509293487112831
748,0,0,2,9.25529842337908e-05
749,0,0,2,0.00035250420070397683
750,768,0,2,0.00013263835775364358
751,0,0,2,0.0003883273853112999
752,0,0,2,0.00031575470206139205
753,0,0,2,5.626359528352383e-05
754,0,0,2,0.00045264884994079314
755,0,0,2,0.00028384273768288
756,0,0,2,0.0001955405728206195
757,0,0,2,0.0003186997870693845
758,0,0,2,0.00021426629472928507
759,0,0,1,0.00017538314929736856
760,0,0,1,0.0001225666985025703
761,0,0,2,0.0004359354652411162
