n,k,risk,CG23,U
7.100000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.181647231645708007e-01,2.006380046853690757e-01
7.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.166095215549557695e-01,2.006380046853690757e-01
7.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.150946845248732586e-01,2.006380046853690757e-01
7.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.136186623580908023e-01,2.006380046853690757e-01
7.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.121799835818257651e-01,2.006380046853690757e-01
7.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.107772500957882600e-01,2.006380046853690757e-01
7.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.094091326602062292e-01,2.006380046853690757e-01
7.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.080743667123813534e-01,2.006380046853690757e-01
7.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.067717484842330700e-01,2.006380046853690757e-01
8.000000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.055001313958958409e-01,2.006380046853690757e-01
8.100000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.042584227027632537e-01,2.006380046853690757e-01
8.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.030455803754624367e-01,2.006380046853690757e-01
8.300000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.018606101941151032e-01,1.749826760924720059e-01
8.400000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,1.007025630399278338e-01,1.749826760924720059e-01
8.500000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.957053236866721113e-02,1.749826760924720059e-01
8.600000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.846365185194098923e-02,1.749826760924720059e-01
8.700000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.738109317343672522e-02,1.749826760924720059e-01
8.800000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.632206396838170759e-02,1.749826760924720059e-01
8.900000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.528580589548933666e-02,1.749826760924720059e-01
9.000000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.427159283156899550e-02,1.749826760924720059e-01
9.100000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.327872917979733447e-02,1.749826760924720059e-01
9.200000000000000000e+01,2.000000000000000000e+00,1.146025790318690001e-02,9.230654828339636409e-02,1.749826760924720059e-01
