replicate,method,n,k,risk,nominal_cost,anytime_U
21,Anytime,362,2,0.0012396849460837947,1.5248178893288302,0.04470779190771206
21,Per_time,466,2,0.0012396849460837947,1.5248178893288302,0.03895234603569855
21,GCC_T1,190,2,0.0012396849460837947,1.5248178893288302,0.08884340963149352
21,GCC_T4,162,2,0.0012396849460837947,1.5248178893288302,0.10186276543651669
21,Fixed_N,93,2,0.00636277499404529,1.6773606314661478,0.174982676092472
21,Posthoc,362,2,0.0012396849460837947,1.5248178893288302,0.04470779190771206
22,Anytime,362,2,0.009903546917388253,1.501079243821158,0.04470779190771206
22,Per_time,466,2,0.006182182501811356,1.5772945630312853,0.03895234603569855
22,GCC_T1,190,2,0.01619875600618564,1.4715818321541643,0.08884340963149352
22,GCC_T4,162,2,0.01619875600618564,1.4715818321541643,0.10186276543651669
22,Fixed_N,93,2,0.024858879727032653,1.3505079308249526,0.174982676092472
22,Posthoc,799,2,0.002936391439229802,1.4528542397434727,0.022502838459799477
23,Anytime,362,2,0.002229056166273698,1.4520196905001181,0.04470779190771206
23,Per_time,466,2,0.002229056166273698,1.4520196905001181,0.03895234603569855
23,GCC_T1,190,2,0.008354169843261029,1.423474342366177,0.08884340963149352
23,GCC_T4,162,2,0.018739839660933136,1.6016409978522943,0.10186276543651669
23,Fixed_N,93,2,0.022736453890778757,1.6608527984055392,0.174982676092472
23,Posthoc,362,2,0.002229056166273698,1.4520196905001181,0.04470779190771206
24,Anytime,362,2,0.005156176426766517,1.840241156302284,0.04470779190771206
24,Per_time,466,2,0.005156176426766517,1.840241156302284,0.03895234603569855
24,GCC_T1,190,2,0.005156176426766517,1.840241156302284,0.08884340963149352
24,GCC_T4,162,2,0.005156176426766517,1.840241156302284,0.10186276543651669
24,Fixed_N,93,2,0.020284216989873073,1.6047150493381321,0.174982676092472
24,Posthoc,529,2,0.0024739355716949835,1.704335297625428,0.033967598945458415
25,Anytime,362,2,0.0024762189719284024,1.5812309242053342,0.04470779190771206
