n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box,finite_hull,finite_box
4543.0,24.0,0.005722602821582878,0.015267029493654398,0.017551030450474663,4.0,0.00041583969524316977,0.005554061551506502,0.012988159200746753,0.005462163079186514
4544.0,24.0,0.005722602821582878,0.015267029493654398,0.017547328556264015,4.0,0.00041583969524316977,0.005554061551506502,0.01298531208968961,0.005460963890336782
4545.0,24.0,0.005722602821582878,0.015267029493654398,0.017543628513985672,4.0,0.00041583969524316977,0.005554061551506502,0.012982466226566606,0.005459765227921383
4546.0,24.0,0.005722602821582878,0.015267029493654398,0.017539929303844907,4.0,0.00041583969524316977,0.005554061551506502,0.012979621610557456,0.005458567091593741
4547.0,24.0,0.005722602821582878,0.015267029493654398,0.01753623201642974,4.0,0.00041583969524316977,0.005554061551506502,0.012976778240842564,0.005457369481007591
4548.0,24.0,0.005722602821582878,0.015267029493654398,0.01753253665010709,4.0,0.00041583969524316977,0.005554061551506502,0.012973936116603085,0.005456172395816964
4549.0,24.0,0.005722602821582878,0.015267029493654398,0.017528842510995412,4.0,0.00041583969524316977,0.005554061551506502,0.012971095237020875,0.005454975835676198
4550.0,24.0,0.005722602821582878,0.015267029493654398,0.017525149821686056,4.0,0.00041583969524316977,0.005554061551506502,0.01296825560127851,0.005453779800239932
4551.0,24.0,0.005722602821582878,0.015267029493654398,0.01752145904990909,4.0,0.00041583969524316977,0.005554061551506502,0.012965417208559264,0.005452584289163114
4552.0,24.0,0.005722602821582878,0.015267029493654398,0.01751777004382286,4.0,0.00041583969524316977,0.005554061551506502,0.012962580058047166,0.005451389302100986
4553.0,24.0,0.005722602821582878,0.015267029493654398,0.01751408194395207,4.0,0.00041583969524316977,0.005554061551506502,0.012959744148926916,0.005450194838709097
4554.0,24.0,0.005722602821582878,0.015267029493654398,0.017510395758061903,4.0,0.00041583969524316977,0.005554061551506502,0.012956909480383954,0.005449000898643299
4555.0,24.0,0.005722602821582878,0.015267029493654398,0.01750671148452886,4.0,0.00041583969524316977,0.005554061551506502,0.012954076051604414,0.00544780748155974
4556.0,24.0,0.005722602821582878,0.015267029493654398,0.017503028355220034,4.0,0.00041583969524316977,0.005554061551506502,0.012951243861775175,0.005446614587114876
4557.0,24.0,0.005722602821582878,0.014783254532328547,0.01749934674657978,4.0,0.00041583969524316977,0.005554061551506502,0.012948412910083777,0.0054454222149654605
4558.0,24.0,0.005722602821582878,0.014783254532328547,0.017495667046758024,4.0,0.00041583969524316977,0.005554061551506502,0.01294558319571852,0.005444230364768545
4559.0,24.0,0.005722602821582878,0.014783254532328547,0.017491989027555676,4.0,0.00041583969524316977,0.005012056226844762,0.012942754717868385,0.005443039036181485
4560.0,24.0,0.005722602821582878,0.014783254532328547,0.017488311987550652,4.0,0.00041583969524316977,0.005012056226844762,0.012939927475723059,0.005441848228861935
4561.0,24.0,0.005722602821582878,0.014783254532328547,0.017484636852833964,4.0,0.00041583969524316977,0.005012056226844762,0.012937101468472949,0.005440657942467846
4562.0,24.0,0.005722602821582878,0.014783254532328547,0.017480963621792512,4.0,0.00041583969524316977,0.005012056226844762,0.012934276695309168,0.005439468176657476
4563.0,24.0,0.005722602821582878,0.014783254532328547,0.017477291453135417,4.0,0.00041583969524316977,0.005012056226844762,0.01293145315542353,0.005438278931089371
4564.0,24.0,0.005722602821582878,0.014783254532328547,0.017473620874939415,4.0,0.00041583969524316977,0.005012056226844762,0.012928630848008561,0.005437090205422385
4565.0,24.0,0.005722602821582878,0.014783254532328547,0.017469952196901232,4.0,0.00041583969524316977,0.005012056226844762,0.012925809772257482,0.005435901999315666
4566.0,24.0,0.005722602821582878,0.014783254532328547,0.017466285115567748,4.0,0.00041583969524316977,0.005012056226844762,0.012922989927364226,0.005434714312428657
