n,k,risk,U,CG23,gain1,gain2
4.200000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.894013233287145437e-01,1.506431991340172472e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.300000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.894013233287145437e-01,1.474087076257243611e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.400000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.894013233287145437e-01,1.443099558849608444e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.500000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.413385899884134489e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.600000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.384869264657516419e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.700000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.357478864937139151e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.800000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.331149376758411218e-01,1.838531109499405292e-01,1.013203147745789928e-01
4.900000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.305820424091309051e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.000000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.281436119860624723e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.100000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.257944657036540737e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.200000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.235297943548935018e-01,1.838531109499405292e-01,1.013203147745789928e-01
5.300000000000000000e+01,1.000000000000000000e+00,9.271710124191035775e-04,2.468776497899417832e-01,1.213451275651343947e-01,1.838531109499405292e-01,1.013203147745789928e-01
