n,k,U,objective,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
2.100000000000000000e+01,1.000000000000000000e+00,4.941866416938650031e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.200000000000000000e+01,1.000000000000000000e+00,4.941866416938650031e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.300000000000000000e+01,1.000000000000000000e+00,4.941866416938650031e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.400000000000000000e+01,1.000000000000000000e+00,4.941866416938650031e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.500000000000000000e+01,1.000000000000000000e+00,4.379279194654123741e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.600000000000000000e+01,1.000000000000000000e+00,4.379279194654123741e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.700000000000000000e+01,1.000000000000000000e+00,4.379279194654123741e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.800000000000000000e+01,1.000000000000000000e+00,4.379279194654123741e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
2.900000000000000000e+01,1.000000000000000000e+00,4.379279194654123741e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
3.000000000000000000e+01,1.000000000000000000e+00,4.379279194654123741e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
3.100000000000000000e+01,1.000000000000000000e+00,3.739718416015198055e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
3.200000000000000000e+01,1.000000000000000000e+00,3.739718416015198055e-01,4.131515147414440925e+00,5.271371065038408382e-02,5.922492662851044920e-02,-2.539645671618800948e-01,-2.051829890208657137e+00,2.335606584535249164e-02,-1.570802381576315021e-01,-7.108319754630068599e-03,-1.564690724815037681e+00,-5.496763550148932032e-01,-1.698368322955740861e-01,-2.076697086161144679e+00,-2.115795590108435764e-01,-3.948283795372823923e-01,-6.107195330715818882e-01,-1.611913756827756172e+00,-2.657498626315872234e-02,-2.158199316047363647e-01,-2.087869996581998233e+00
