replicate,aligned_first_cost,aligned_selected_cost
3.400000000000000000e+01,1.522551063479153255e+00,1.522551063479153255e+00
3.500000000000000000e+01,1.500517319992902276e+00,1.500517319992902276e+00
3.600000000000000000e+01,1.533689156920295726e+00,1.533689156920295726e+00
3.700000000000000000e+01,1.532302366779495051e+00,1.532302366779495051e+00
3.800000000000000000e+01,1.498861566912261578e+00,1.498861566912261578e+00
3.900000000000000000e+01,1.542566153647490390e+00,1.542566153647490390e+00
4.000000000000000000e+01,1.539808902115091804e+00,1.539808902115091804e+00
4.100000000000000000e+01,1.483658854682328165e+00,1.483658854682328165e+00
4.200000000000000000e+01,1.515306363547493707e+00,1.515306363547493707e+00
4.300000000000000000e+01,1.502069087361361133e+00,1.502069087361361133e+00
4.400000000000000000e+01,1.447077452309008416e+00,1.447077452309008416e+00
4.500000000000000000e+01,1.491712642008732326e+00,1.491712642008732326e+00
4.600000000000000000e+01,1.545104122445488226e+00,1.545104122445488226e+00
4.700000000000000000e+01,1.477836226228054883e+00,1.477836226228054883e+00
4.800000000000000000e+01,1.523120984045633008e+00,1.523120984045633008e+00
4.900000000000000000e+01,1.439333639155841338e+00,1.439333639155841338e+00
5.000000000000000000e+01,1.529690935127145934e+00,1.529690935127145934e+00
5.100000000000000000e+01,1.509839405664035183e+00,1.509839405664035183e+00
5.200000000000000000e+01,1.503056669837175452e+00,1.503056669837175452e+00
5.300000000000000000e+01,1.449717734646130074e+00,1.449717734646130074e+00
5.400000000000000000e+01,1.489126549627923790e+00,1.489126549627923790e+00
5.500000000000000000e+01,1.492030559924235389e+00,1.492030559924235389e+00
5.600000000000000000e+01,1.527525739730429599e+00,1.527525739730429599e+00
5.700000000000000000e+01,1.494715746856909444e+00,1.494715746856909444e+00
5.800000000000000000e+01,1.547520785209640426e+00,1.547520785209640426e+00
5.900000000000000000e+01,1.538196885191576824e+00,1.538196885191576824e+00
6.000000000000000000e+01,1.488209441335791139e+00,1.488209441335791139e+00
6.100000000000000000e+01,1.489314417121625711e+00,1.489314417121625711e+00
6.200000000000000000e+01,1.477211901448995279e+00,1.477211901448995279e+00
6.300000000000000000e+01,1.453666864627408462e+00,1.453666864627408462e+00
6.400000000000000000e+01,1.473579231125941469e+00,1.473579231125941469e+00
