n,k_hull,risk_hull,U_hull,U_per_time,k_box,risk_box,U_box
7.629000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.042771242936833646e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.630000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.042639883242732664e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.631000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.042508545046941584e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.632000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.042377241925126520e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.633000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.042245979170972232e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.634000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.042114752361666778e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.635000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041983546115402004e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.636000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041852380192571405e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.637000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041721254573006912e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.638000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041590155148650922e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.639000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041459085948685630e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.640000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041328057007865314e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.641000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041197068306074988e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.642000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.041066096081045417e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.643000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040935163710755493e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.644000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040804271535443470e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
7.645000000000000000e+03,2.300000000000000000e+01,3.548702574350581784e-03,8.655932335862093208e-03,1.040673410231948877e-02,4.000000000000000000e+00,3.857946068367423820e-04,3.327922179420373609e-03
