n,k,risk,U_anytime,U_per_time,L1,L2
1.620000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.247603369802750134e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.630000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.241134688340617825e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.640000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.234739793002513492e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.650000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.228417377581743491e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.660000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.222166167203192350e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.670000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.215984917376234514e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.680000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.209872413082201809e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.690000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.203827467894784259e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.700000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.197848923132067700e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.710000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.191935647038922935e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.720000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.186086533998384068e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.730000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.180300503770774917e-01,1.658906822103888845e-01,1.470373061124380099e-01
1.740000000000000000e+02,2.000000000000000000e+00,2.920118036769999131e-03,1.018627654365166918e-01,1.174564435205166374e-01,1.658906822103888845e-01,1.470373061124380099e-01
